WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
1,Auckland,ASB Classic,30/12/12,International,Outdoor,Hard,1st Round,3,Parmentier P.,Mchale C.,65,33,950,1451,6,4,6,1,,,2,0,Completed,2.5,1.5,2.5,1.5,2.38,1.53,2.67,1.53,2.5,1.5,2.92,1.57,2.5,1.5
1,Auckland,ASB Classic,31/12/12,International,Outdoor,Hard,1st Round,3,Vesnina E.,Bouchard E.,68,147,902,469,7,5,6,3,,,2,0,Completed,1.53,2.37,1.6,2.25,1.53,2.38,1.54,2.63,1.57,2.25,1.6,2.68,1.53,2.44
1,Auckland,ASB Classic,31/12/12,International,Outdoor,Hard,1st Round,3,Daniilidou E.,Vandeweghe C.,100,97,683,688,1,6,7,6,6,4,2,1,Completed,1.83,1.83,1.85,1.9,1.73,2,1.9,1.99,1.83,1.83,1.95,2.18,1.83,1.91
1,Auckland,ASB Classic,31/12/12,International,Outdoor,Hard,1st Round,3,Bertens K.,Kuznetsova S.,63,71,956,882,6,7,6,2,7,5,2,1,Completed,2.5,1.5,2.6,1.45,2.62,1.44,2.85,1.47,2.63,1.44,3.1,1.51,2.64,1.46
1,Auckland,ASB Classic,31/12/12,International,Outdoor,Hard,1st Round,3,Flipkens K.,Voskoboeva G.,54,82,1096,776,6,1,6,7,7,5,2,1,Completed,1.4,2.75,1.4,2.8,1.44,2.62,1.53,2.67,1.4,2.75,1.53,2.9,1.44,2.71
1,Auckland,ASB Classic,31/12/12,International,Outdoor,Hard,1st Round,3,Larsson J.,Doi M.,73,93,860,711,4,6,6,3,6,2,2,1,Completed,1.57,2.25,1.65,2.15,1.62,2.2,1.71,2.24,1.67,2.1,1.72,2.28,1.66,2.16
1,Auckland,ASB Classic,31/12/12,International,Outdoor,Hard,1st Round,3,Halep S.,Rus A.,47,72,1220,871,4,6,6,3,6,1,2,1,Completed,1.36,3,1.4,2.8,1.4,2.75,1.4,3.18,1.4,2.75,1.41,3.18,1.37,2.92
1,Auckland,ASB Classic,31/12/12,International,Outdoor,Hard,1st Round,3,Wickmayer Y.,Rybarikova M.,23,62,1680,1002,7,6,6,2,,,2,0,Completed,1.53,2.37,1.6,2.25,1.5,2.5,1.67,2.33,1.53,2.38,1.67,2.5,1.55,2.38
1,Auckland,ASB Classic,31/12/12,International,Outdoor,Hard,1st Round,3,Hampton J.,Zheng J.,70,26,884,1585,7,5,6,1,,,2,0,Completed,1.83,1.83,2,1.75,2,1.73,2.05,1.85,1.91,1.8,2.11,1.91,1.98,1.8
1,Auckland,ASB Classic,31/12/12,International,Outdoor,Hard,1st Round,3,Watson H.,Cirstea S.,49,27,1161,1565,6,3,,,,,1,0,Retired,1.61,2.2,1.65,2.15,1.62,2.2,1.71,2.24,1.67,2.1,1.73,2.3,1.67,2.14
