ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
1,Brisbane,Brisbane International,31/12/2018,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Nishioka Y.,19,75,1835,701,6,3,6,4,,,,,,,2,0,Completed,1.36,3,1.36,3.37,1.42,3.6,1.35,3.18
1,Brisbane,Brisbane International,31/12/2018,ATP250,Outdoor,Hard,1st Round,3,Raonic M.,Bedene A.,18,67,1855,780,6,0,6,3,,,,,,,2,0,Completed,1.18,4.5,1.23,4.68,1.27,4.84,1.22,4.26
1,Brisbane,Brisbane International,31/12/2018,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,Mayer L.,131,56,433,895,6,3,6,1,,,,,,,2,0,Completed,1.57,2.25,1.67,2.32,1.71,2.4,1.63,2.28
1,Brisbane,Brisbane International,31/12/2018,ATP250,Outdoor,Hard,1st Round,3,Millman J.,Sandgren T.,38,61,1083,814,7,6,6,7,6,0,,,,,2,1,Completed,1.4,2.75,1.41,3.13,1.45,3.2,1.4,2.95
1,Brisbane,Brisbane International,31/12/2018,ATP250,Outdoor,Hard,1st Round,3,Uchiyama Y.,Humbert U.,185,102,275,572,6,4,7,6,,,,,,,2,0,Completed,2.62,1.44,2.73,1.51,3.26,1.53,2.69,1.47
1,Brisbane,Brisbane International,01/01/2019,ATP250,Outdoor,Hard,1st Round,3,Kudla D.,Fritz T.,63,49,810,974,7,6,6,7,6,4,,,,,2,1,Completed,2.62,1.44,2.8,1.49,2.85,1.55,2.7,1.47
1,Brisbane,Brisbane International,01/01/2019,ATP250,Outdoor,Hard,1st Round,3,Chardy J.,Struff J.L.,40,57,1050,875,4,6,6,3,6,4,,,,,2,1,Completed,2.1,1.66,2.23,1.72,2.26,1.74,2.19,1.68
1,Brisbane,Brisbane International,01/01/2019,ATP250,Outdoor,Hard,1st Round,3,Murray A.,Duckworth J.,240,234,200,206,6,3,6,4,,,,,,,2,0,Completed,1.28,3.5,1.38,3.29,1.39,3.6,1.34,3.26
1,Brisbane,Brisbane International,01/01/2019,ATP250,Outdoor,Hard,1st Round,3,Kyrgios N.,Harrison R.,35,62,1125,810,7,6,5,7,7,6,,,,,2,1,Completed,1.4,2.75,1.47,2.87,1.5,3.16,1.44,2.8
1,Brisbane,Brisbane International,01/01/2019,ATP250,Outdoor,Hard,1st Round,3,Tsonga J.W.,Kokkinakis T.,239,146,200,367,7,6,6,4,,,,,,,2,0,Completed,2.25,1.57,2.27,1.7,2.42,1.71,2.27,1.64
1,Brisbane,Brisbane International,01/01/2019,ATP250,Outdoor,Hard,1st Round,3,De Minaur A.,Popyrin A.,31,147,1298,367,6,2,6,2,,,,,,,2,0,Completed,1.2,4.33,1.21,4.98,1.24,5,1.2,4.55
1,Brisbane,Brisbane International,01/01/2019,ATP250,Outdoor,Hard,1st Round,3,Thompson J.,Bolt A.,72,154,715,352,6,3,6,0,,,,,,,2,0,Completed,1.33,3.25,1.37,3.35,1.38,3.4,1.36,3.14
1,Brisbane,Brisbane International,02/01/2019,ATP250,Outdoor,Hard,2nd Round,3,Dimitrov G.,Millman J.,19,38,1835,1083,6,3,6,4,,,,,,,2,0,Completed,1.4,2.75,1.47,2.9,1.49,3,1.43,2.82
1,Brisbane,Brisbane International,02/01/2019,ATP250,Outdoor,Hard,2nd Round,3,Uchiyama Y.,Edmund K.,185,14,275,2150,7,6,6,4,,,,,,,2,0,Completed,4,1.22,4.87,1.22,5,1.26,4.26,1.22
1,Brisbane,Brisbane International,02/01/2019,ATP250,Outdoor,Hard,2nd Round,3,Nishikori K.,Kudla D.,9,63,3590,810,7,5,6,2,,,,,,,2,0,Completed,1.16,5,1.19,5.42,1.19,5.65,1.16,5.17
1,Brisbane,Brisbane International,02/01/2019,ATP250,Outdoor,Hard,2nd Round,3,Raonic M.,Kecmanovic M.,18,131,1855,433,6,3,7,6,,,,,,,2,0,Completed,1.2,4.33,1.22,4.86,1.25,6.07,1.21,4.48
1,Brisbane,Brisbane International,02/01/2019,ATP250,Outdoor,Hard,2nd Round,3,Chardy J.,Kyrgios N.,40,35,1050,1125,6,7,6,2,6,3,,,,,2,1,Completed,3,1.36,3.24,1.4,3.32,1.42,3.11,1.37
1,Brisbane,Brisbane International,02/01/2019,ATP250,Outdoor,Hard,2nd Round,3,Medvedev D.,Murray A.,16,240,1977,200,7,5,6,2,,,,,,,2,0,Completed,1.83,1.83,1.9,2,1.99,2,1.88,1.93
1,Brisbane,Brisbane International,02/01/2019,ATP250,Outdoor,Hard,2nd Round,3,De Minaur A.,Thompson J.,31,72,1298,715,6,4,6,2,,,,,,,2,0,Completed,1.36,3,1.39,3.28,1.44,3.28,1.38,3.06
1,Brisbane,Brisbane International,03/01/2019,ATP250,Outdoor,Hard,2nd Round,3,Tsonga J.W.,Daniel T.,239,77,200,691,7,6,6,3,,,,,,,2,0,Completed,1.25,3.75,1.27,4.23,1.35,4.23,1.27,3.84
1,Brisbane,Brisbane International,03/01/2019,ATP250,Outdoor,Hard,Quarterfinals,3,Chardy J.,Uchiyama Y.,40,185,1050,275,6,4,3,6,7,6,,,,,2,1,Completed,1.61,2.3,1.64,2.45,1.67,2.55,1.61,2.34
1,Brisbane,Brisbane International,03/01/2019,ATP250,Outdoor,Hard,Quarterfinals,3,Nishikori K.,Dimitrov G.,9,19,3590,1835,7,5,7,5,,,,,,,2,0,Completed,1.61,2.3,1.68,2.36,1.73,2.38,1.65,2.26
1,Brisbane,Brisbane International,04/01/2019,ATP250,Outdoor,Hard,Quarterfinals,3,Medvedev D.,Raonic M.,16,18,1977,1855,6,7,6,3,6,4,,,,,2,1,Completed,2,1.8,2.16,1.8,2.16,1.91,2.04,1.79
1,Brisbane,Brisbane International,04/01/2019,ATP250,Outdoor,Hard,Quarterfinals,3,Tsonga J.W.,De Minaur A.,239,31,200,1298,6,4,7,6,,,,,,,2,0,Completed,2.5,1.53,2.5,1.61,2.56,1.63,2.42,1.57
1,Brisbane,Brisbane International,05/01/2019,ATP250,Outdoor,Hard,Semifinals,3,Nishikori K.,Chardy J.,9,40,3590,1050,6,2,6,2,,,,,,,2,0,Completed,1.16,5,1.2,5.3,1.2,5.8,1.17,5.11
1,Brisbane,Brisbane International,05/01/2019,ATP250,Outdoor,Hard,Semifinals,3,Medvedev D.,Tsonga J.W.,16,239,1977,200,7,6,6,2,,,,,,,2,0,Completed,1.61,2.3,1.71,2.3,1.79,2.46,1.67,2.23
1,Brisbane,Brisbane International,06/01/2019,ATP250,Outdoor,Hard,The Final,3,Nishikori K.,Medvedev D.,9,16,3590,1977,6,4,3,6,6,2,,,,,2,1,Completed,1.57,2.37,1.66,2.4,1.67,2.54,1.6,2.36
